sku,id,cn_name,zhtw_name,English_name,series,scale,size,weight,zhtw_price,price,cost,final_price,is_preorder
6927054402748,JT02748,"天启系列 磐石白戈
常规作战型机甲","天啟系列 磐石白戈
常規作戰型機甲","APOC Series Bedrock Albus
Standard Combat Type Mech",Dark Source,Scale：1/25,25*17*13,1kg,229,49.99,157,1060,25-Jan
6927054402717,JT02717,"天启系列 铁幕
装甲攻击型机甲","天啟系列 鐵幕
裝甲攻擊型機甲","APOC Series Iron Vanguard
Heavy Assault Mech",Dark Source,Scale：1/25,25*17*13,1kg,229,49.99,157,1060,25-Jan
6927054402724,JT02724,"天启系列 天袭
精确打击型机甲","天啟系列 天襲
精確打擊型機甲","APOC Series Sky Striker
Precision Strike Mech",Dark Source,Scale：1/25,25*17*13,1kg,229,49.99,157,1060,25-Jan
6927054402731,JT02731,"天启系列 暴风破晓
火力支援型机甲","天啟系列 暴風破曉
火力支援機甲","APOC Series Storm Lucis
Fire Support Type Mech",Dark Source,Scale：1/25,25*17*13,1kg,229,49.99,157,1060,25-Jan
